day,old_testament,ot_verses,new_testament,nt_verses,psalms_proverbs,pp_verses,total_verses
79,Deuteronomy 30–31,50,John 3,36,Psalm 50,23,109
80,Deuteronomy 32–34,93,John 4,54,Psalm 51,19,166
81,Joshua 1–4,83,John 5,47,Psalm 52,9,139
82,Joshua 5–7,68,John 6:1–40,40,Psalm 53,6,114
83,Joshua 8–9,62,John 6:41–71,31,Psalm 54,7,100
84,Joshua 10–12,90,John 7,53,Proverbs 11:1–11,11,154
85,Joshua 13–14,48,John 8,59,Proverbs 11:12–21,10,117
86,Joshua 15–17,91,John 9,41,Proverbs 11:22–31,10,142
87,Joshua 18–19,79,John 10,42,Psalm 55,23,144
88,Joshua 20–21,54,John 11,57,Psalm 56,13,124
89,Joshua 22–24,83,John 12,50,Psalm 57,11,144
90,Judges 1–3,90,John 13,38,Psalm 58,11,139
91,Judges 4–5,55,John 14,31,Psalm 59,17,103
92,Judges 6–7,65,John 15,27,Proverbs 12:1–10,10,102
93,Judges 8–9,92,John 16,33,Proverbs 12:11–19,9,134
94,Judges 10–12,73,John 17,26,Proverbs 12:20–28,9,108
95,Judges 13–15,65,John 18,40,Psalm 60,12,117
96,Judges 16–18,75,John 19,42,Psalm 61,8,125
97,Judges 19–20,78,John 20,31,Psalm 62,12,121
98,"Judges 21, Ruth 1–2",70,John 21,25,Psalm 63,11,106
